${0} ${1} already exists.,${0} ${1} zaten var.
${0} ${1} has been modified after loading,${0} ${1} yüklendikten sonra deðiþtirildi
${0} ${1} is linked with existing records.,${0} ${1} varolan kayýtlarla baðlantýlýdýr.
${0} already exists.,${0} zaten var.
${0} filters applied,${0} uygulanan filtreler
${0} rows,${0} satýrlarý
* required fields,* gerekli alanlar
0%,0%
03-23-2022,03-23-2022
03/23/2022,03/23/2022
1 filter applied,1 filtre uygulandý
2022-03-23,2022-03-23
"23 Mar, 2022",23.03.2022
23-03-2022,23-03-2022
23/03/2022,23/03/2022
9888900000,9888900000
Account,Hesap
Account Entries,Hesap Giriþleri
Account Name,Hesap Adý
Account Type,Hesap Türü
Accounting Ledger Entry,Muhasebe Defteri Girdisi
Accounting Settings,Muhasebe Ayarlarý
Accounts,Hesaplar
Accounts Payable,Ödenecek Hesaplar
Accounts Receivable,Alacak Hesaplarý
Accumulated Depreciation,Birikmiþ Amortisman
Add Account,Hesap Ekle
Add Customers,Müþteri Ekle
Add Group,Grup Ekle
Add Items,Öðe Ekle
Add Row,Satýr Ekle
Add Suppliers,Tedarikçi Ekle
Add Taxes,Vergi Ekle
Add a few customers to create your first invoice,Ýlk faturanýzý oluþturmak için birkaç müþteri ekleyin
Add a few suppliers to create your first bill,Ýlk faturanýzý oluþturmak için birkaç tedarikçi ekleyin
Add a filter,Filtre ekleme
Add a remark,Bir açýklama ekle
Add invoice terms,Fatura koþullarý ekleme
Add products or services that you buy from your suppliers,Tedarikçilerinizden satýn aldýðýnýz ürün veya hizmetleri ekleyin
Add products or services that you sell to your customers,Müþterilerinize sattýðýnýz ürün veya hizmetleri ekleyin
Address,Adres
Address Display,Adres Ekraný
Address Line 1,Adres Satýrý 1
Address Line 2,Adres Satýrý 2
Administrative Expenses,Ýdari Giderler
All,Tüm
Amount,Miktar
Amount (Company Currency),Tutar (Þirket Para Birimi)
Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.,"Amount: ${0} ve writeoff: ${1}, baþvurulara ayrýlan toplam tutardan daha azdýr: ${2}."
Amount: ${0} is less than the total amount allocated to references: ${1}.,"Tutar: ${0}, baþvurulara ayrýlan toplam tutardan daha azdýr: ${1}."
An error occurred.,Bir hata oluþtu.
Application of Funds (Assets),Fonlarýn (Varlýklarýn) Uygulanmasý
Arial,Arial
Ascending Order,Artan Düzen
Asset,Varlýk
Assign Imported Labels,Ýçe Aktarýlan Etiketleri Atama
Back,Geri
Bad import data.,Hatalý içe aktarma verileri.
Balance,Denge
Balance Sheet,bilanço
Bank,Banka
Bank Accounts,banka hesabý
Bank Entry,Banka Giriþi
Bank Name,Banka Adý
Bank Overdraft Account,Banka Kredili Mevduat Hesabý
Based On,dayalý
Basic,Temel
Basic I,Temel I
Basic II,Temel II
Bill,Fatura
Bill Created,Fatura Oluþturuldu
Bill No,Fatura No
Black,Siyah
Blue,Mavi
Both,Her ikisi de
Buildings,Site
Business,Ýþ
Cancel,Ýptal etmek
Cancel ${0} ${1}?,Ýptal ${0} ${1}?
Cancelled,Ýptal edildi
Capital Equipments,Sermaye Ekipmanlarý
Capital Stock,Sermaye Stoðu
Cash,Nakit
Cash Entry,Nakit Giriþi
Cash In Hand,Elinde Nakit
Cashflow,Nakit Akýþý
Central Tax,Merkezi Vergi
Change File,Dosyayý Deðiþtir
Change Ref Type,Ref Türünü Deðiþtir
Chargeable,Ödetilebilir
Chart Of Accounts Reviewed,Ýncelenen Hesap Planý
Chart of Accounts,Hesap Planý
Check for Updates,Güncellemeleri Kontrol Et
Checking for updates,Güncellemeleri kontrol etme
Cheque,Çek
City / Town,Þehir
Clear,Açýk
Clearance Date,Ýzin Tarihi
Click to create,Oluþturmak için týklayýn
Close,Kapatma
Closing,Kapanma
Closing (Cr),Kapanýþ (Cr)
Closing (Dr),Kapanýþ (Dr)
Color,Renk
Commission on Sales,Satýþ Komisyonu
Common,Ortak
Common Items,Ortak Öðeler
Company Address,Þirket Adresi
Company Logo,Þirket Logosu
Company Name,Þirket Adý
Company Settings,Þirket Ayarlarý
Company Setup,Þirket Kurulumu
Completed,Tamamlandý
Condition,Koþul
Consolidate Columns,Sütunlarý Birleþtir
Contains,Ýçeriyor
Contra Entry,Kontra Giriþ
Cost of Goods Sold,Satýlan Mallarýn Maliyeti
Could not import ${0} ${1}.,${0} ${1} alýnamadý.
Could not select file.,Dosya seçilemedi.
Country,Ülke
Country Code,Ülke Kodu
Country code used to initialize regional settings.,Bölgesel ayarlarý baþlatmak için kullanýlan ülke kodu.
Courier,Kurye
Cr.,Cr.
Create,Uretmek
Create Bill,Fatura Oluþtur
Create Demo,Demo Oluþtur
Create Invoice,Fatura Oluþtur
Create Purchase,Satýn Alma Oluþtur
Create Sale,Satýþ Oluþtur
Create a new file and store it in your computer.,Yeni bir dosya oluþturun ve bilgisayarýnýzda saklayýn.
Create a new file or select an existing one from your computer,Yeni bir dosya oluþturun veya bilgisayarýnýzdan varolan bir dosyayý seçin
Create your first bill and mail it to your supplier,Ýlk faturanýzý oluþturun ve tedarikçinize postayla gönderin
Create your first invoice and mail it to your customer,Ýlk faturanýzý oluþturun ve müþterinize postayla gönderin
Created,Uretildi
Created By,Tarafýndan oluþturuldu
Creating Items and Parties,Öðeler ve Taraflar Oluþturma
Creating Journal Entries,Günlük Giriþleri Oluþturma
Creating Purchase Invoices,Satýnalma Faturalarý Oluþturma
Credit,Kredi
Credit Card Entry,Kredi Kartý Giriþi
Credit Note,Kredi Notu
Creditors,Alacaklý
Currency,Para birimi
Currency Name,Para Birimi Adý
Current,Þimdiki
Current Assets,Dönen Varlýklar
Current Liabilities,Cari Borçlar
Custom Hex,Özel Altýgen
Customer,Müþteri
Customer Created,Müþteri Oluþturuldu
Customer Currency,Müþteri Para Birimi
Customers,Müþteriler
Customise,Özelleþtirmek
Customize your invoices by adding a logo and address details,Logo ve adres bilgilerini ekleyerek faturalarýnýzý özelleþtirin
Dashboard,Gösterge paneli
Data Import,Veri Ýçe Aktarma
Database file: ${0},Veritabaný dosyasý: ${0}
Date,Tarih
Date Format,Tarih Biçimi
Day,Gün
Debit,Banka
Debit Note,Borç Notu
Debtors,Borçlu
Default Account,Varsayýlan Hesap
Delete,Silmek
